date,value,reported,computed,current_accounts,deposit_facility,reserve_requirements,marginal_lending,difference,check,method,source
2021-01-01,3343762.0,3343762.0,3343762.0,2805505.0,683863.0,145454.0,152.0,0.0,ok,ECB reported,https://www.ecb.europa.eu/stats/pdf/monetary/lm/liq_daily_2021.zip
2021-01-04,3405268.0,3405268.0,3405267.0,2996448.0,554273.0,145454.0,0.0,1.0,ok,ECB reported,https://www.ecb.europa.eu/stats/pdf/monetary/lm/liq_daily_2021.zip
2021-01-05,3437152.0,3437152.0,3437152.0,3028601.0,554005.0,145454.0,0.0,0.0,ok,ECB reported,https://www.ecb.europa.eu/stats/pdf/monetary/lm/liq_daily_2021.zip
2021-01-06,3460034.0,3460034.0,3460035.0,3057811.0,547680.0,145454.0,2.0,-1.0,ok,ECB reported,https://www.ecb.europa.eu/stats/pdf/monetary/lm/liq_daily_2021.zip
2021-01-07,3466581.0,3466581.0,3466581.0,3068504.0,543531.0,145454.0,0.0,0.0,ok,ECB reported,https://www.ecb.europa.eu/stats/pdf/monetary/lm/liq_daily_2021.zip
2021-01-08,3491844.0,3491844.0,3491843.0,3089948.0,547349.0,145454.0,0.0,1.0,ok,ECB reported,https://www.ecb.europa.eu/stats/pdf/monetary/lm/liq_daily_2021.zip
2021-01-11,3510157.0,3510157.0,3510157.0,3118315.0,537296.0,145454.0,0.0,0.0,ok,ECB reported,https://www.ecb.europa.eu/stats/pdf/monetary/lm/liq_daily_2021.zip
2021-01-12,3504446.0,3504446.0,3504445.0,3107916.0,541983.0,145454.0,0.0,1.0,ok,ECB reported,https://www.ecb.europa.eu/stats/pdf/monetary/lm/liq_daily_2021.zip
2021-01-13,3516747.0,3516747.0,3516747.0,3116855.0,545346.0,145454.0,0.0,0.0,ok,ECB reported,https://www.ecb.europa.eu/stats/pdf/monetary/lm/liq_daily_2021.zip
2021-01-14,3517539.0,3517539.0,3517539.0,3105536.0,557457.0,145454.0,0.0,0.0,ok,ECB reported,https://www.ecb.europa.eu/stats/pdf/monetary/lm/liq_daily_2021.zip
2021-01-15,3543164.0,3543164.0,3543164.0,3130122.0,558496.0,145454.0,0.0,0.0,ok,ECB reported,https://www.ecb.europa.eu/stats/pdf/monetary/lm/liq_daily_2021.zip
2021-01-18,3531130.0,3531130.0,3531130.0,3117444.0,559140.0,145454.0,0.0,0.0,ok,ECB reported,https://www.ecb.europa.eu/stats/pdf/monetary/lm/liq_daily_2021.zip
2021-01-19,3556411.0,3556411.0,3556410.0,3129016.0,572853.0,145454.0,5.0,1.0,ok,ECB reported,https://www.ecb.europa.eu/stats/pdf/monetary/lm/liq_daily_2021.zip
2021-01-20,3537072.0,3537072.0,3537072.0,3116955.0,565571.0,145454.0,0.0,0.0,ok,ECB reported,https://www.ecb.europa.eu/stats/pdf/monetary/lm/liq_daily_2021.zip
2021-01-21,3550029.0,3550029.0,3550029.0,3126699.0,568784.0,145454.0,0.0,0.0,ok,ECB reported,https://www.ecb.europa.eu/stats/pdf/monetary/lm/liq_daily_2021.zip
2021-01-22,3557216.0,3557216.0,3557216.0,3081989.0,620681.0,145454.0,0.0,0.0,ok,ECB reported,https://www.ecb.europa.eu/stats/pdf/monetary/lm/liq_daily_2021.zip
2021-01-25,3544642.0,3544642.0,3544642.0,3071573.0,618523.0,145454.0,0.0,0.0,ok,ECB reported,https://www.ecb.europa.eu/stats/pdf/monetary/lm/liq_daily_2021.zip
2021-01-26,3535572.0,3535572.0,3535572.0,3067119.0,613907.0,145454.0,0.0,0.0,ok,ECB reported,https://www.ecb.europa.eu/stats/pdf/monetary/lm/liq_daily_2021.zip
2021-01-27,3529299.0,3529299.0,3529300.0,3226470.0,449300.0,146470.0,0.0,-1.0,ok,ECB reported,https://www.ecb.europa.eu/stats/pdf/monetary/lm/liq_daily_2021.zip
2021-01-28,3524788.0,3524788.0,3524788.0,3225054.0,446204.0,146470.0,0.0,0.0,ok,ECB reported,https://www.ecb.europa.eu/stats/pdf/monetary/lm/liq_daily_2021.zip
2021-01-29,3541511.0,3541511.0,3541512.0,3231558.0,456424.0,146470.0,0.0,-1.0,ok,ECB reported,https://www.ecb.europa.eu/stats/pdf/monetary/lm/liq_daily_2021.zip
2021-02-01,3580811.0,3580811.0,3580812.0,3245349.0,481933.0,146470.0,0.0,-1.0,ok,ECB reported,https://www.ecb.europa.eu/stats/pdf/monetary/lm/liq_daily_2021.zip
2021-02-02,3583989.0,3583989.0,3583990.0,3249362.0,481098.0,146470.0,0.0,-1.0,ok,ECB reported,https://www.ecb.europa.eu/stats/pdf/monetary/lm/liq_daily_2021.zip
2021-02-03,3591764.0,3591764.0,3591764.0,3259376.0,478858.0,146470.0,0.0,0.0,ok,ECB reported,https://www.ecb.europa.eu/stats/pdf/monetary/lm/liq_daily_2021.zip
2021-02-04,3586333.0,3586333.0,3586333.0,3258483.0,475147.0,146470.0,827.0,0.0,ok,ECB reported,https://www.ecb.europa.eu/stats/pdf/monetary/lm/liq_daily_2021.zip
2021-02-05,3588965.0,3588965.0,3588965.0,3209594.0,525841.0,146470.0,0.0,0.0,ok,ECB reported,https://www.ecb.europa.eu/stats/pdf/monetary/lm/liq_daily_2021.zip
2021-02-08,3584804.0,3584804.0,3584804.0,3164809.0,566465.0,146470.0,0.0,0.0,ok,ECB reported,https://www.ecb.europa.eu/stats/pdf/monetary/lm/liq_daily_2021.zip
2021-02-09,3589887.0,3589887.0,3589887.0,3170814.0,565543.0,146470.0,0.0,0.0,ok,ECB reported,https://www.ecb.europa.eu/stats/pdf/monetary/lm/liq_daily_2021.zip
2021-02-10,3590431.0,3590431.0,3590432.0,3112872.0,624030.0,146470.0,0.0,-1.0,ok,ECB reported,https://www.ecb.europa.eu/stats/pdf/monetary/lm/liq_daily_2021.zip
2021-02-11,3589100.0,3589100.0,3589100.0,3120472.0,615119.0,146470.0,21.0,0.0,ok,ECB reported,https://www.ecb.europa.eu/stats/pdf/monetary/lm/liq_daily_2021.zip
2021-02-12,3593557.0,3593557.0,3593557.0,3116321.0,623706.0,146470.0,0.0,0.0,ok,ECB reported,https://www.ecb.europa.eu/stats/pdf/monetary/lm/liq_daily_2021.zip
2021-02-15,3575488.0,3575488.0,3575489.0,3112775.0,609184.0,146470.0,0.0,-1.0,ok,ECB reported,https://www.ecb.europa.eu/stats/pdf/monetary/lm/liq_daily_2021.zip
